domain,category,last_pos,length_tokens,prompt
book,NOUN,NOUN,16,"At the word, color flooded into Pesh's tan cheeks, and he broke eye"
book,NOUN,NOUN,16,"All colors coordinated beautifully, enhancing the feeling of the agency being a strong wedding group"
book,NOUN,NOUN,16,"Back at the apartment, the chauffer carried all the packages into the beautiful living room"
book,NOUN,NOUN,16,"Those three boys had been demons in the neighborhood and no one, absolutely no one"
book,NOUN,NOUN,16,"The tables crowded with talking, laughing patrons, music filling the air, the aroma"
book,NOUN,NOUN,16,"Michael drove her again and stood sentry inside, not close enough to hear what sophie"
book,NOUN,NOUN,16,"As we drove home in silence, I leaned my throbbing head against the cold window"
book,NOUN,NOUN,16,"Maybe I was being paranoid or, worse yet, developing a severe case of schizophrenia"
book,NOUN,NOUN,17,"A single phone call had made me feel like my life had ended, but two sentences"
book,NOUN,NOUN,16,"The picture is clearer... more vivid, but I think you lose that original quality"
book,NOUN,NOUN,16,"After locking the door, I made my way back to the bedroom, finding Leah"
book,NOUN,NOUN,16,"Otherwise, I'd be in sheer panic at this moment, wondering if my son"
book,NOUN,NOUN,16,"I don't want to turn your office into a mini daycare ""Meg"
book,NOUN,NOUN,16,"Arie did spend the rest of the morning moping around the house, the very thing"
book,NOUN,NOUN,16,With a a guttural explosion of frustration Lani whirled around and marched back into the suite
book,NOUN,NOUN,16,"Richard, ever the loving grandpa, had been there, playing with four-year"
book,NOUN,NOUN,16,"The room was dark, but the windows were open and the lightning was enough light"
book,NOUN,NOUN,16,All the hurt and tears I had suppressed and worked through since getting on the plane
book,NOUN,NOUN,16,Everything was coming together nicely and Arielle would be Mrs. Zach Forsythe by the end
book,NOUN,NOUN,16,"Before Marshall had an interest and ran the studio in LA, it seemed that Merger"
book,PROPN,PROPN,16,"Born and raised on the double-bar-k ranch in Chance Creek, Montana"
book,PROPN,PROPN,16,"Prologue ""We're not for sale, Mrs. Larson,"" Lucien"
book,PROPN,PROPN,16,"As the doorman opened the door for us as we pulled up to Mele, Marshall"
book,PROPN,PROPN,18,"After a few verbal exchanges the waiter walked away and Julian moved toward them, smiling at Camille"
book,PROPN,PROPN,16,"Papa couldn't do anything legally, and now, thanks to uncle Edouard, Papa"
book,PROPN,PROPN,18,"Even if Fletcher and Max Hathaway were friends as well as colleagues, Paul was based in Sydney"
book,PROPN,PROPN,16,I pull on the new thigh-length black boots that I picked up from Camden
book,PROPN,PROPN,20,"Justice cursed inwardly, wishing to Hell his housekeeper had picked some other time to take a cruise to Jamaica"
book,PROPN,PROPN,18,"After a moment's thought, Whitney wrote to Clayton and explained that she had come to London"
book,PROPN,PROPN,16,"Whitney told herself she would try once more, just once more, to make Clayton"
book,PROPN,PROPN,26,"Sheridan blinked, warily surveying the woman who had obviously devised this entire banbury tale as some form of diabolical torture designed to break down Sheridan"
book,PROPN,PROPN,18,"Whitney listened to this light repartee in a state of angry, humiliated pain, wondering if Clayton"
book,PROPN,PROPN,21,"Matt jumped out of his chair and headed around the table, Levinson grabbed for his sleeve and missed, Stuart"
book,PROPN,PROPN,16,"If I move in with you right away, my credibility as an officer of Bancroft"
book,PROPN,PROPN,17,"After being-somewhat unjustly-arrested for attempted auto theft, Julie was put into Dr"
book,PROPN,PROPN,20,"When Ted and Katherine's marriage fell apart, Katherine had gone back to college and then moved to Dallas"
book,PROPN,PROPN,19,A plane ticket for the four O'clock flight to Mexico city will be waiting for you at the Aero
book,PROPN,PROPN,22,A middle-aged couple shivered in the cold while a nervous elderly couple struggled to step up onto the range Rover
book,PROPN,PROPN,16,Addelson's thick hair was the strange grayish yellow blond that seemed more common in Texas
book,PROPN,PROPN,21,"I'm willing to stay in town as much as I can, but there is no reason for Julie"
book,PUNCT,PUNCT,16,"Of course your furnishings and materials will be on a much grander scale, but..."
book,PUNCT,PUNCT,17,"For some reason, the light couldn't seem to penetrate the darkness of the room,"
book,PUNCT,PUNCT,16,"When Emma had gasped in disbelief at the amazing stones glittering from the black velvet,"
book,PUNCT,PUNCT,17,Your version is more comprehensive and inclusive and definitely should be heard by a wider audience.
book,PUNCT,PUNCT,16,"Sierra was about to decline, not wanting to be around when the extremely tall,"
book,PUNCT,PUNCT,19,"The man was a legend, not just within the ATI community but in the information technology industry."
book,PUNCT,PUNCT,16,"There are a few people on the bench who might be able to help you,"
book,PUNCT,PUNCT,17,"Pink and brown dots surrounded the curly letters, underneath was a name, Daisy Barnes,"
book,PUNCT,PUNCT,16,"Little girls like to imagine things like that, or even starting a detective agency,"
book,PUNCT,PUNCT,17,The sound of four paws scampering across hardwood floors and the incessant barking of a pint-
