ID,Word Count,Genre,Viewpoint,Tense,Paragraph Text
1,21,Narrative,1st Person,Past,"I walked to the edge of the water where the stones were smooth and cold, but when I"
2,19,Narrative,2nd Person,Present,"You stand by the open door waiting for the sound to stop, yet the noise from the"
3,22,Narrative,3rd Person Ltd,Future,"She will look for the paper that she left on the table, assuming that nobody has moved it"
4,20,Narrative,3rd Person Obj,Past,"The car turned the corner slowly while the rain fell on the street, and just as the"
5,23,Narrative,1st Person,Future,"We will go to the place where the old tree used to be, hoping that the ground is"
6,18,Narrative,2nd Person,Past,"You saw the light turn off in the window across the way, so you decided that it"
7,21,Narrative,3rd Person Ltd,Present,"He thinks that the box is empty because of how light it feels, although he has not"
8,24,Narrative,3rd Person Obj,Future,"The group will arrive at the station before the sun comes up, provided that the train on the"
9,19,Narrative,1st Person,Present,"I am holding the key that opens the gate to the garden, but I do not know"
10,20,Narrative,2nd Person,Future,"You will find the letter hidden under the mat when you get home, unless the wind has"
11,22,Narrative,3rd Person Ltd,Past,"They believed that the path would lead them back to the house, but after walking for an"
12,21,Narrative,3rd Person Obj,Present,"The dog waits by the fence every day at the same time, watching the road as if"
13,19,Narrative,1st Person,Past,"We tried to fix the broken glass that fell from the shelf, but the pieces were too"
14,23,Narrative,2nd Person,Past,"You heard a voice calling from the other side of the wall, but when you stopped to"
15,20,Narrative,3rd Person Ltd,Future,"He will try to open the lock with the tool he found, hoping that the metal is"
16,18,Narrative,3rd Person Obj,Past,"The bird flew from the branch to the roof of the shed, and at that moment"
17,21,Narrative,1st Person,Future,"I will wait until the room is quiet before I speak, because I want to ensure that"
18,22,Narrative,2nd Person,Present,"You see the man walking away with the bag in his hand, and you wonder if he"
19,19,Narrative,3rd Person Ltd,Past,"She felt the cold air coming through the gap in the floor, realizing that the old"
20,20,Narrative,3rd Person Obj,Future,"The lights will go out in the building once the timer finishes, leaving the hall in total"
21,21,Descriptive,1st Person,Present,"I feel the rough texture of the wall against my hand, noting how the paint chips are"
22,23,Descriptive,2nd Person,Past,"You noticed the smell of damp earth rising from the ground after the rain had stopped, which"
23,19,Descriptive,3rd Person Ltd,Future,"He will see the colors of the sky change from blue to grey, signaling that the"
24,20,Descriptive,3rd Person Obj,Present,"The wind moves the tall grass in waves across the field, revealing the dark soil that"
25,22,Descriptive,1st Person,Past,"We observed the dust floating in the beam of light that cut through the room, and as"
26,18,Descriptive,2nd Person,Future,"You will hear the sound of the water hitting the rocks, creating a rhythm that seems"
27,24,Descriptive,3rd Person Ltd,Present,"She touches the soft fabric of the coat, surprised by how warm it feels against her skin"
28,21,Descriptive,3rd Person Obj,Past,"The shadow of the building stretched long across the park, covering the bench where the leaves were"
29,19,Descriptive,1st Person,Future,"I will watch the fire burn down until only the embers remain, glowing with a heat"
30,20,Descriptive,2nd Person,Present,"You taste the salt in the air as the wind blows in from the sea, and"
31,23,Descriptive,3rd Person Ltd,Past,"They heard the floorboards creak under the weight of their steps, a sound that echoed in the"
32,18,Descriptive,3rd Person Obj,Future,"The ice will form on the window pane in intricate patterns, blocking the view of the"
33,21,Descriptive,1st Person,Past,"I saw the bright flash of light reflect off the mirror, blinding me for a second before"
34,22,Descriptive,2nd Person,Present,"You feel the heavy heat of the afternoon sun on your back, making the air difficult to"
35,20,Descriptive,3rd Person Ltd,Future,"He will smell the smoke before he sees the fire, a scent that is sharp and"
36,19,Descriptive,3rd Person Obj,Past,"The heavy door closed with a loud thud that shook the frame, and then silence returned"
37,24,Descriptive,1st Person,Present,"We see the pattern of the tiles on the floor, which are worn down in the center"
38,21,Descriptive,2nd Person,Future,"You will notice the silence of the forest when the birds stop singing, a quiet that feels"
39,18,Descriptive,3rd Person Ltd,Past,"She felt the sharp edge of the paper cut her finger, and while the pain was"
40,20,Descriptive,3rd Person Obj,Present,"The yellow light from the lamp illuminates the dust on the table, showing the marks where"
41,22,Journalistic,1st Person,Present,"We report that the bridge is currently closed due to high winds, although the authorities have not"
42,20,Journalistic,2nd Person,Past,"You read in the article that the prices of food had increased, but the chart did"
43,19,Journalistic,3rd Person Ltd,Future,"He will write that the meeting is scheduled to begin at noon, assuming that all the"
44,23,Journalistic,3rd Person Obj,Present,"The study indicates that most people prefer to walk to work, provided that the distance is not"
45,21,Journalistic,1st Person,Past,"I noted that the crowd began to disperse after the speech ended, yet a few individuals remained"
46,18,Journalistic,2nd Person,Future,"You will see the results of the survey published next week, which will likely show that"
47,24,Journalistic,3rd Person Ltd,Present,"She observes that the traffic flows smoothly during the morning hours, unless there is an accident on"
48,20,Journalistic,3rd Person Obj,Past,"The document stated that the project was completed on time, even though several issues with the"
49,22,Journalistic,1st Person,Future,"We will announce the winner of the competition once the votes are counted, ensuring that every ballot"
50,19,Journalistic,2nd Person,Present,"You find that the instructions in the manual are unclear, specifically the section that explains how"
51,21,Journalistic,3rd Person Ltd,Past,"They claimed that the decision was made without their input, stating that the board met when"
52,23,Journalistic,3rd Person Obj,Future,"The weather forecast predicts that heavy rain will fall tomorrow, which means that the event in the"
53,18,Journalistic,1st Person,Present,"I observe that the market is busy this morning, with many vendors selling goods that are"
54,20,Journalistic,2nd Person,Past,"You heard on the news that the road work was finished, but when you drove by"
55,22,Journalistic,3rd Person Ltd,Future,"He will confirm the details of the contract before signing, paying close attention to the clause that"
56,19,Journalistic,3rd Person Obj,Present,"The sign on the door says the shop is open, yet the lights inside are off"
57,24,Journalistic,1st Person,Past,"We analyzed the data from the previous year and found a trend, which suggests that the system"
58,21,Journalistic,2nd Person,Future,"You will be notified by mail when the package arrives, provided that the address on the"
59,20,Journalistic,3rd Person Ltd,Present,"She reports that the noise level in the area is acceptable, although residents have complained that"
60,18,Journalistic,3rd Person Obj,Past,"The event took place in the main hall of the building, where the guests were seated"
61,22,Poetic,1st Person,Present,"I watch the shadows dance on the wall like silent ghosts, and while the light fades"
62,20,Poetic,2nd Person,Past,"You felt the time slip away like sand through your fingers, leaving only the memory of"
63,19,Poetic,3rd Person Ltd,Future,"He will see the moon rise above the hills like a silver coin, and when the"
64,23,Poetic,3rd Person Obj,Present,"The river flows with a voice that speaks of old stones, carrying secrets to the sea where"
65,21,Poetic,1st Person,Past,"We walked through a fog that wrapped around us like a heavy blanket, obscuring the path"
66,18,Poetic,2nd Person,Future,"You will find that hope is a bird with broken wings, waiting for the wind to"
67,24,Poetic,3rd Person Ltd,Present,"She feels the silence of the house pressing against her ears, a weight that is heavy and"
68,20,Poetic,3rd Person Obj,Past,"The leaves fell from the trees like tears of gold, covering the ground in a layer"
69,22,Poetic,1st Person,Future,"I will listen to the song of the wind in the wires, a melody that sounds"
70,19,Poetic,2nd Person,Present,"You see the world through a glass that is cracked, distorting the shapes of the people"
71,21,Poetic,3rd Person Ltd,Past,"They remembered the days that were bright and long, when the sun seemed to stand still"
72,23,Poetic,3rd Person Obj,Future,"The stars will shine like cold eyes watching the earth below, and as the night grows"
73,18,Poetic,1st Person,Present,"I hold the moment in my hand like a fragile egg, afraid that if I move"
74,20,Poetic,2nd Person,Past,"You walked where the grass was green and soft, but the ground underneath was hard as"
75,22,Poetic,3rd Person Ltd,Future,"He will dream of a place where the water is clear, but when he wakes up"
76,19,Poetic,3rd Person Obj,Present,"The mountain stands like a guardian over the valley, casting a shadow that swallows the small"
77,24,Poetic,1st Person,Past,"We saw the storm approach like a dark wall in the sky, and before we could"
78,21,Poetic,2nd Person,Future,"You will hear the echo of your own voice returning to you, sounding strange and hollow"
79,20,Poetic,3rd Person Ltd,Present,"She imagines that the clouds are ships sailing on a blue sea, drifting slowly toward the"
80,18,Poetic,3rd Person Obj,Past,"The fire died down until it was just a red glow, breathing its last breath before"
81,21,Colloquial,1st Person,Present,"I am telling you that the door needs to be fixed, because every time I try"
82,23,Colloquial,2nd Person,Past,"You said that the book was on the shelf, but when I looked there was nothing"
83,19,Colloquial,3rd Person Ltd,Future,"He will probably go to the store later today, seeing as he ran out of milk"
84,20,Colloquial,3rd Person Obj,Present,"It looks like the car is broken down on the side of the road, and nobody"
85,22,Colloquial,1st Person,Past,"We thought the game was going to start at six, but it turns out that the"
86,18,Colloquial,2nd Person,Future,"You will have to call them back in the morning, since the office is closed and"
87,24,Colloquial,3rd Person Ltd,Present,"She guesses that the mail has not arrived yet, mainly because the box is empty and"
88,21,Colloquial,3rd Person Obj,Past,"The lights were all off in the house last night, which was strange because they usually"
89,20,Colloquial,1st Person,Future,"I will check if the water is hot enough for tea, but if the kettle is"
90,19,Colloquial,2nd Person,Present,"You know how the bus is always late on Tuesdays, so there is no point in"
91,22,Colloquial,3rd Person Ltd,Past,"They figured that the walk would be short, but after an hour they realized that the"
92,23,Colloquial,3rd Person Obj,Future,"It is going to rain later this afternoon, so the people in the park will have"
93,18,Colloquial,1st Person,Present,"I reckon the table is too big for this room, especially when you try to put"
94,21,Colloquial,2nd Person,Past,"You saw the man who sells the papers on the corner, and he looked like he"
95,20,Colloquial,3rd Person Ltd,Future,"He will likely forget to bring the keys with him, considering that he always leaves them"
96,19,Colloquial,3rd Person Obj,Present,"The thing is that the window does not close all the way, so the cold air"
97,24,Colloquial,1st Person,Past,"We were talking about the new building down the street, and how it blocks the view"
98,22,Colloquial,2nd Person,Future,"You are going to need a coat if you go out, because the wind is blowing"
99,20,Colloquial,3rd Person Ltd,Present,"She wonders why the phone keeps ringing, even though she told everyone that she would be"
100,18,Colloquial,3rd Person Obj,Past,"It seemed like a good idea at the time, but as soon as they started to"
